name,title,url,headshot_image_url,date_updated,department,research_interests,personal_site
Brooke Vuckovic,Adjunct Lecturer of MBA Leadership Coaching,http://www.kellogg.northwestern.edu/faculty/directory/vuckovic_brooke.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Vuckovic_Brooke_2012.ashx,20180327,ARCHITECTURES OF COLLABORATION,"Booth, Brenda Ellington and Brooke Vuckovic. ""Authentic Leadership."" Kellogg Insight.",
Bruce Boissonnault,Adjunct Lecturer of Health Enterprise Management,http://www.kellogg.northwestern.edu/faculty/directory/boissonnault_bruce.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/boissonnault_bruce.ashx,20180327,PUBLIC-PRIVATE INTERFACE,,
Bryony Reich,Assistant Professor of Strategy,http://www.kellogg.northwestern.edu/faculty/directory/reich_bryony.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Reich_Bryony_091516.ashx,20180327,STRATEGY,,https://sites.google.com/site/bryonyreich/
Canan Uckun,Adjunct Professor of Operations Management,http://www.kellogg.northwestern.edu/faculty/directory/uckun_canan.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/CananUckun 11152017 cropped.ashx,20180327,OPERATIONS,,
Carola Frydman,Professor of Finance,http://www.kellogg.northwestern.edu/faculty/directory/frydman_carola.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Frydman_Carola.ashx,20180327,FINANCE,"Papanikolaou, Dimitris and Carola Frydman. Forthcoming. In Search of Ideas: Technological Innovation and Executive Pay Inequality. Journal of Financial Economics.",http://www.kellogg.northwestern.edu/faculty/frydman/htm/index.html
Carter Cast,Clinical Professor of Innovation & Entrepreneurship,http://www.kellogg.northwestern.edu/faculty/directory/cast_carter.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Cast_Carter 07102017.ashx,20180327,INNOVATION & ENTREPRENEURSHIP,"Cast, Carter. ""Preventing Career Derailment: Managing Pst the Major Stallers and Stoppers (White Paper)."".",
Cesare Mainardi,Adjunct Professor of Strategy,http://www.kellogg.northwestern.edu/faculty/directory/mainardi_cesare.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Mainardi_Cesare_101014.ashx,20180327,STRATEGY,,
Chaithanya Bandi,Associate Professor of Operations,http://www.kellogg.northwestern.edu/faculty/directory/bandi_chaithanya.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Bandi_Chaitanya_0913.ashx,20180327,OPERATIONS,"Robust Optimization, Applied Probability, and Optimization methods with applications to Control and Analysis of large scale multi-class queueing networks, Mechanism Design, and Finance-OM interface.",http://www.kellogg.northwestern.edu/faculty/bandi/cbandi.htm
Charles G. Nathanson,Assistant Professor of Finance,http://www.kellogg.northwestern.edu/faculty/directory/nathanson_charles.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Nathanson_Charles_03232017.ashx,20180327,FINANCE,"Asset Pricing, Behavioral Finance, Public Finance, and Real Estate",http://www.charlesnathanson.com
Chirag Saraiya,Adjunct Lecturer of Finance,http://www.kellogg.northwestern.edu/faculty/directory/saraiya_chirag.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/saraiya_c.ashx,20180327,FINANCE,,
